Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - GBP,Flow
24/4/12,"5,709.49",+43.92,+0.78%,"5,665.57","5,658.49","5,714.17","807,899,131","314,914.00","-867,643.00"
25/4/12,"5,718.89",+9.40,+0.16%,"5,709.49","5,703.21","5,745.00","859,133,149","355,276.00","-512,367.00"
26/4/12,"5,748.72",+29.83,+0.52%,"5,718.89","5,691.72","5,761.14","879,956,037","380,766.00","-131,601.00"
27/4/12,"5,777.11",+28.39,+0.49%,"5,748.72","5,707.95","5,788.99","812,249,616","338,261.00","206,660.00"
30/4/12,"5,737.78",-39.33,-0.68%,"5,777.11","5,728.87","5,792.97","784,966,998","334,183.00","-127,523.00"
1/5/12,"5,812.23",+74.45,+1.30%,"5,737.78","5,732.16","5,819.00","653,605,365","196,472.00","68,949.00"
2/5/12,"5,758.11",-54.12,-0.93%,"5,812.23","5,736.70","5,819.93","962,324,741","399,635.00","-330,686.00"
3/5/12,"5,766.55",+8.44,+0.15%,"5,758.11","5,745.23","5,800.81","788,566,108","326,565.00","-4,121.00"
4/5/12,"5,655.06",-111.49,-1.93%,"5,766.55","5,639.79","5,766.55","1,013,188,065","391,630.00","-395,751.00"
8/5/12,"5,554.55",-100.51,-1.78%,"5,655.06","5,550.09","5,668.09","1,052,975,739","441,380.00","-837,131.00"
9/5/12,"5,530.05",-24.50,-0.44%,"5,554.55","5,464.41","5,571.71","1,006,217,919","371,001.00","-1,208,132.00"
10/5/12,"5,543.95",+13.90,+0.25%,"5,530.05","5,490.54","5,566.14","847,647,543","345,998.00","-862,134.00"
11/5/12,"5,575.52",+31.57,+0.57%,"5,543.95","5,499.27","5,585.50","772,576,799","336,468.00","-525,666.00"
14/5/12,"5,465.52",-110.00,-1.97%,"5,575.52","5,436.69","5,575.65","883,929,223","315,951.00","-841,617.00"
15/5/12,"5,437.62",-27.90,-0.51%,"5,465.52","5,411.82","5,507.65","876,368,119","319,620.00","-1,161,237.00"
16/5/12,"5,405.25",-32.37,-0.60%,"5,437.62","5,354.00","5,448.38","1,026,459,423","378,335.00","-1,539,572.00"
17/5/12,"5,338.38",-66.87,-1.24%,"5,405.25","5,309.75","5,413.32","894,671,439","321,684.00","-1,861,256.00"
18/5/12,"5,267.62",-70.76,-1.33%,"5,338.38","5,256.61","5,338.38","1,225,450,771","407,815.00","-2,269,071.00"
21/5/12,"5,304.48",+36.86,+0.70%,"5,267.62","5,253.92","5,324.36","914,314,812","297,405.00","-1,971,666.00"
22/5/12,"5,403.28",+98.80,+1.86%,"5,304.48","5,304.48","5,408.65","931,864,228","347,290.00","-1,624,376.00"
23/5/12,"5,266.41",-136.87,-2.53%,"5,403.28","5,262.90","5,403.67","997,826,088","392,065.00","-2,016,441.00"
24/5/12,"5,350.05",+83.64,+1.59%,"5,266.41","5,266.41","5,371.75","737,282,452","292,701.00","-1,723,740.00"
25/5/12,"5,351.53",+1.48,+0.03%,"5,350.05","5,312.20","5,385.17","734,363,628","260,332.00","-1,463,408.00"
28/5/12,"5,356.34",+4.81,+0.09%,"5,351.53","5,341.34","5,413.83","510,686,572","189,036.00","-1,274,372.00"
29/5/12,"5,391.14",+34.80,+0.65%,"5,356.34","5,342.46","5,404.66","729,588,100","276,497.00","-997,875.00"
30/5/12,"5,297.28",-93.86,-1.74%,"5,391.14","5,284.42","5,391.14","863,484,615","311,502.00","-1,309,377.00"
31/5/12,"5,320.86",+23.58,+0.45%,"5,297.28","5,272.66","5,352.05","1,398,519,800","518,334.00","-791,043.00"
1/6/12,"5,260.19",-60.67,-1.14%,"5,320.86","5,229.76","5,354.45","1,056,087,779","416,372.00","-1,207,415.00"
6/6/12,"5,384.11",+123.92,+2.36%,"5,260.19","5,260.19","5,388.03","1,098,347,662","450,822.00","-756,593.00"
7/6/12,"5,447.79",+63.68,+1.18%,"5,384.11","5,384.11","5,494.54","1,030,125,157","471,431.00","-285,162.00"
8/6/12,"5,435.08",-12.71,-0.23%,"5,447.79","5,381.83","5,447.79","916,402,353","401,042.00","-686,204.00"
11/6/12,"5,432.37",-2.71,-0.05%,"5,435.08","5,419.56","5,536.27","950,512,196","356,898.00","-1,043,102.00"
12/6/12,"5,473.74",+41.37,+0.76%,"5,432.37","5,414.64","5,478.63","890,749,050","377,935.00","-665,167.00"
13/6/12,"5,483.81",+10.07,+0.18%,"5,473.74","5,436.67","5,507.65","831,010,402","377,914.00","-287,253.00"
14/6/12,"5,467.05",-16.76,-0.31%,"5,483.81","5,424.40","5,483.81","985,630,605","378,350.00","-665,603.00"
15/6/12,"5,478.81",+11.76,+0.22%,"5,467.05","5,465.09","5,522.87","2,307,095,051","1,010,142.00","344,539.00"
18/6/12,"5,491.09",+12.28,+0.22%,"5,478.81","5,461.08","5,555.32","879,532,349","328,478.00","673,017.00"
19/6/12,"5,586.31",+95.22,+1.73%,"5,491.09","5,491.03","5,603.14","816,800,590","369,769.00","1,042,786.00"
20/6/12,"5,622.29",+35.98,+0.64%,"5,586.31","5,566.00","5,623.85","903,446,921","420,144.00","1,462,930.00"
21/6/12,"5,566.36",-55.93,-0.99%,"5,622.29","5,564.79","5,622.29","785,237,388","390,403.00","1,072,527.00"
22/6/12,"5,513.69",-52.67,-0.95%,"5,566.36","5,499.97","5,566.36","677,911,185","303,033.00","769,494.00"
25/6/12,"5,450.65",-63.04,-1.14%,"5,513.69","5,435.46","5,513.69","716,160,957","342,803.00","426,691.00"
26/6/12,"5,446.96",-3.69,-0.07%,"5,450.65","5,436.27","5,476.50","631,700,588","279,066.00","147,625.00"
27/6/12,"5,523.92",+76.96,+1.41%,"5,446.96","5,446.96","5,525.14","678,486,517","310,838.00","458,463.00"
28/6/12,"5,493.06",-30.86,-0.56%,"5,523.92","5,436.50","5,533.75","1,027,922,541","347,715.00","110,748.00"
29/6/12,"5,571.15",+78.09,+1.42%,"5,493.06","5,493.06","5,619.65","1,061,581,728","409,626.00","520,374.00"
2/7/12,"5,640.64",+69.49,+1.25%,"5,571.15","5,571.15","5,640.64","696,936,345","297,965.00","818,339.00"
3/7/12,"5,687.73",+47.09,+0.83%,"5,640.64","5,636.05","5,689.00","795,293,310","322,394.00","1,140,733.00"
