trading_date,open_price,high_price,low_price,close_price
2014-04-22,1872.57,1884.89,1872.57,1879.55
2014-04-23,1879.32,1879.75,1873.91,1875.39
2014-04-24,1881.97,1884.06,1870.24,1878.61
2014-04-25,1877.72,1877.72,1859.7,1863.4
2014-04-28,1865.0,1877.01,1850.61,1869.43
2014-04-29,1870.78,1880.6,1870.78,1878.33
2014-04-30,1877.1,1885.2,1872.69,1883.95
2014-05-01,1884.39,1888.59,1878.04,1883.68
2014-05-02,1885.3,1891.33,1878.5,1881.14
2014-05-05,1879.45,1885.51,1866.77,1884.66
2014-05-06,1883.69,1883.69,1867.72,1867.72
2014-05-07,1868.53,1878.83,1859.79,1878.21
2014-05-08,1877.39,1889.07,1870.05,1875.63
2014-05-09,1875.27,1878.57,1867.02,1878.48
2014-05-12,1880.03,1897.13,1880.03,1896.65
2014-05-13,1896.75,1902.17,1896.06,1897.45
2014-05-14,1897.13,1897.13,1885.77,1888.53
2014-05-15,1888.16,1888.16,1862.36,1870.85
2014-05-16,1871.19,1878.28,1864.82,1877.86
2014-05-19,1876.66,1886.0,1872.42,1885.08
2014-05-20,1884.88,1884.88,1868.14,1872.83
2014-05-21,1873.34,1888.8,1873.34,1888.03
2014-05-22,1888.19,1896.33,1885.39,1892.49
2014-05-23,1893.32,1901.26,1893.32,1900.53
2014-05-27,1902.01,1912.28,1902.01,1911.91
2014-05-28,1911.77,1914.46,1907.3,1909.78
2014-05-29,1910.6,1920.03,1909.82,1920.03
2014-05-30,1920.33,1924.03,1916.64,1923.57
2014-06-02,1923.87,1925.88,1915.98,1924.97
2014-06-03,1923.07,1925.07,1918.79,1924.24
2014-06-04,1923.06,1928.63,1918.6,1927.88
2014-06-05,1928.52,1941.74,1922.93,1940.46
2014-06-06,1942.41,1949.44,1942.41,1949.44
2014-06-09,1948.97,1955.55,1947.16,1951.27
2014-06-10,1950.34,1950.86,1944.64,1950.79
2014-06-11,1949.37,1949.37,1940.08,1943.89
2014-06-12,1943.35,1943.35,1925.78,1930.11
2014-06-13,1930.8,1937.3,1927.69,1936.16
2014-06-16,1934.84,1941.15,1930.91,1937.78
2014-06-17,1937.15,1943.69,1933.55,1941.99
2014-06-18,1942.73,1957.74,1939.29,1956.98
2014-06-19,1957.5,1959.87,1952.26,1959.48
2014-06-20,1960.45,1963.91,1959.17,1962.87
2014-06-23,1962.92,1963.74,1958.89,1962.61
2014-06-24,1961.97,1968.17,1948.34,1949.98
2014-06-25,1949.27,1960.83,1947.49,1959.53
2014-06-26,1959.89,1959.89,1944.69,1957.22
2014-06-27,1956.56,1961.47,1952.18,1960.96
2014-06-30,1960.79,1964.24,1958.22,1960.23
2014-07-01,1962.29,1978.58,1962.29,1973.32
2014-07-02,1973.06,1976.67,1972.58,1974.62
2014-07-03,1975.88,1985.59,1975.88,1985.44
2014-07-07,1984.22,1984.22,1974.88,1977.65
2014-07-08,1976.39,1976.39,1959.46,1963.71
2014-07-09,1965.1,1974.15,1965.1,1972.83
2014-07-10,1966.67,1969.84,1952.86,1964.68
2014-07-11,1965.76,1968.67,1959.63,1967.57
2014-07-14,1969.86,1979.85,1969.86,1977.1
2014-07-15,1977.36,1982.52,1965.34,1973.28
2014-07-16,1976.35,1983.94,1975.67,1981.57
2014-07-17,1979.75,1981.8,1955.59,1958.12
2014-07-18,1961.54,1979.91,1960.82,1978.22
2014-07-21,1976.93,1976.93,1965.77,1973.63
2014-07-22,1975.65,1986.24,1975.65,1983.53
2014-07-23,1985.32,1989.23,1982.44,1987.01
2014-07-24,1988.07,1991.39,1985.79,1987.98
2014-07-25,1984.6,1984.6,1974.37,1978.34
2014-07-28,1978.25,1981.52,1967.31,1978.91
2014-07-29,1980.03,1984.85,1969.95,1969.95
2014-07-30,1973.21,1978.9,1962.42,1970.07
2014-07-31,1965.14,1965.14,1930.67,1930.67
2014-08-01,1929.8,1937.35,1916.37,1925.15
2014-08-04,1926.62,1942.92,1921.2,1938.99
2014-08-05,1936.34,1936.34,1913.77,1920.21
2014-08-06,1917.29,1927.91,1911.45,1920.24
2014-08-07,1923.03,1928.89,1904.78,1909.57
2014-08-08,1910.35,1932.38,1909.01,1931.59
2014-08-11,1933.43,1944.9,1933.43,1936.92
2014-08-12,1935.73,1939.65,1928.29,1933.75
2014-08-13,1935.6,1948.41,1935.6,1946.72
2014-08-14,1947.41,1955.23,1947.41,1955.18
2014-08-15,1958.87,1964.04,1941.5,1955.06
2014-08-18,1958.36,1971.99,1958.36,1971.74
2014-08-19,1972.73,1982.57,1972.73,1981.6
2014-08-20,1980.46,1988.57,1977.68,1986.51
2014-08-21,1986.82,1994.76,1986.82,1992.37
2014-08-22,1992.6,1993.54,1984.76,1988.4
2014-08-25,1991.74,2001.95,1991.74,1997.92
2014-08-26,1998.59,2005.04,1998.59,2000.02
2014-08-27,2000.54,2002.14,1996.2,2000.12
2014-08-28,1997.42,1998.55,1990.52,1996.74
2014-08-29,1998.45,2003.38,1994.65,2003.37
2014-09-02,2004.07,2006.12,1994.85,2002.28
2014-09-03,2003.57,2009.28,1998.14,2000.72
2014-09-04,2001.67,2011.17,1992.54,1997.65
2014-09-05,1998.0,2007.71,1990.1,2007.71
2014-09-08,2007.17,2007.17,1995.6,2001.54
2014-09-09,2000.73,2001.01,1984.61,1988.44
2014-09-10,1988.41,1996.66,1982.99,1995.69
2014-09-11,1992.85,1997.65,1985.93,1997.45
2014-09-12,1996.74,1996.74,1980.26,1985.54
2014-09-15,1986.04,1987.18,1978.48,1984.13
2014-09-16,1981.93,2002.28,1979.06,1998.98
2014-09-17,1999.3,2010.74,1993.29,2001.57
2014-09-18,2003.07,2012.34,2003.07,2011.36
2014-09-19,2012.74,2019.26,2006.59,2010.4
2014-09-22,2009.08,2009.08,1991.01,1994.29
2014-09-23,1992.78,1995.41,1982.77,1982.77
2014-09-24,1983.34,1999.79,1978.63,1998.3
2014-09-25,1997.32,1997.32,1965.99,1965.99
2014-09-26,1966.22,1986.37,1966.22,1982.85
2014-09-29,1978.96,1981.28,1964.04,1977.8
2014-09-30,1978.21,1985.17,1968.96,1972.29
2014-10-01,1971.44,1971.44,1941.72,1946.16
2014-10-02,1945.83,1952.32,1926.03,1946.17
2014-10-03,1948.12,1971.19,1948.12,1967.9
2014-10-06,1970.01,1977.84,1958.43,1964.82
2014-10-07,1962.36,1962.36,1934.87,1935.1
2014-10-08,1935.55,1970.36,1925.25,1968.89
2014-10-09,1967.68,1967.68,1927.56,1928.21
2014-10-10,1925.63,1936.98,1906.05,1906.13
2014-10-13,1905.65,1912.09,1874.14,1874.74
2014-10-14,1877.11,1898.71,1871.79,1877.7
2014-10-15,1874.18,1874.18,1820.66,1862.49
2014-10-16,1855.95,1876.01,1835.02,1862.76
2014-10-17,1864.91,1898.16,1864.91,1886.76
2014-10-20,1885.62,1905.03,1882.3,1904.01
2014-10-21,1909.38,1942.45,1909.38,1941.28
2014-10-22,1941.29,1949.31,1926.83,1927.11
2014-10-23,1931.02,1961.95,1931.02,1950.82
2014-10-24,1951.59,1965.27,1946.27,1964.58
2014-10-27,1962.97,1964.64,1951.37,1961.63
2014-10-28,1964.14,1985.05,1964.14,1985.05
2014-10-29,1983.29,1991.4,1969.04,1982.3
2014-10-30,1979.49,1999.4,1974.75,1994.65
2014-10-31,2001.2,2018.19,2001.2,2018.05
2014-11-03,2018.21,2024.46,2013.68,2017.81
2014-11-04,2015.81,2015.98,2001.01,2012.1
2014-11-05,2015.29,2023.77,2014.42,2023.57
2014-11-06,2023.33,2031.61,2015.86,2031.21
2014-11-07,2032.36,2034.26,2025.07,2031.92
2014-11-10,2032.01,2038.7,2030.17,2038.26
2014-11-11,2038.2,2041.28,2035.28,2039.68
